total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
84,Arabica,Honduras,1450.0,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,marcala
84,Arabica,El Salvador,1200.0,Washed / Wet,7.75,8.0,8.0,8.33,7.67,7.92,santa ana
84,Arabica,Nicaragua,925.0,Washed / Wet,7.83,7.58,7.58,7.83,7.75,7.67,jinotega
84,Arabica,El Salvador,1350.0,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,apaneca
84,Arabica,Indonesia,1200.0,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,"temanggung, indonesia"
84,Arabica,Japan,170.0,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,ada okinawa japan
84,Arabica,Costa Rica,1150.0,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,tarrazu
84,Arabica,Guatemala,1600.0,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,acatenango
84,Arabica,Costa Rica,1750.0,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,tarrazu
84,Arabica,Ethiopia,1900.0,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,yirgacheffe
84,Arabica,Costa Rica,1750.0,Other,7.67,7.58,7.75,7.75,7.67,8.58,costa rica
84,Arabica,Costa Rica,1200.0,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,west valley
84,Arabica,Taiwan,1000.0,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,taichung xinshe 台中市新社區
84,Arabica,Colombia,1550.0,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,santander
84,Arabica,Kenya,2000.0,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,nyeri
84,Arabica,Guatemala,1310.64,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,oriente
84,Arabica,Guatemala,1524.0,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,acatenango
84,Arabica,Mexico,1200.0,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,el remudadero
84,Arabica,Uganda,1775.0,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,mbale
84,Arabica,Peru,1310.64,Washed / Wet,7.67,7.83,7.75,7.75,7.92,7.83,"penachi, cecanor"
84,Arabica,Ethiopia,1750.0,Washed / Wet,7.42,7.75,7.75,8.0,8.0,7.92,sidamo
84,Arabica,Kenya,1754.0,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,nyeri
84,Arabica,Colombia,1500.0,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,santander
84,Arabica,Colombia,1310.64,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,huila
84,Arabica,Kenya,1800.0,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,nyeri
84,Arabica,Guatemala,1524.0,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,jalapa
84,Arabica,Guatemala,1219.2,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,oriente
84,Arabica,Colombia,1550.0,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,santander
84,Arabica,Colombia,1750.0,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,huila
84,Arabica,Colombia,1750.0,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,huila
84,Arabica,Costa Rica,1575.0,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,tres rios
84,Arabica,Colombia,1800.0,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,huila
84,Arabica,Brazil,1300.0,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,vale da grama
84,Arabica,Brazil,1100.0,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,mountains of minas gerais
84,Arabica,Costa Rica,1200.0,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,valle central
84,Arabica,Uganda,1750.0,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,eastern uganda
84,Arabica,China,1680.0,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,yunnan
84,Arabica,Costa Rica,1700.0,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,tarrazu
84,Arabica,Colombia,1800.0,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,cauca
84,Arabica,China,1100.0,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,yunnan
84,Arabica,Guatemala,1310.64,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,oriente
84,Arabica,Kenya,2000.0,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,nyeri
84,Arabica,Mexico,1350.0,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,hustusco
84,Arabica,Mexico,1500.0,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,jaltenango
84,Arabica,Guatemala,1310.64,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,"el tumbador, san marcos"
84,Arabica,Brazil,1310.64,Washed / Wet,7.81,7.81,7.88,7.75,7.38,8.25,mmm
84,Arabica,Brazil,1310.64,Washed / Wet,8.17,7.67,7.75,7.75,7.67,7.75,test
84,Arabica,Costa Rica,1300.0,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,tarrazu
84,Arabica,Indonesia,1400.0,Other,7.67,7.67,7.83,7.58,7.83,7.83,sumatra brastagi
84,Arabica,Colombia,1310.64,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,pitalito
84,Arabica,Colombia,1775.0,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,huila
84,Arabica,Taiwan,1200.0,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,"mountain ali, taiwan"
84,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,kona
84,Arabica,Mexico,900.0,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,tapachula
84,Arabica,Ethiopia,1310.64,Washed / Wet,7.5,7.75,7.83,7.92,7.92,7.75,limu
84,Arabica,Kenya,1800.0,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,nyeri
84,Arabica,Honduras,1500.0,Washed / Wet,7.92,8.0,7.75,7.67,7.67,7.75,comayagua
84,Arabica,Colombia,1310.64,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,huila
84,Arabica,Honduras,1500.0,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,central region
84,Arabica,Colombia,1310.64,Washed / Wet,7.67,7.67,7.75,7.83,7.75,7.83,la plata
84,Arabica,Colombia,442.0,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,huila
84,Arabica,Colombia,1800.0,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,huila
84,Arabica,Mexico,1700.0,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,tuxtla gutierrez
84,Arabica,Brazil,1275.0,Washed / Wet,8.17,8.0,7.5,7.75,7.5,7.67,vale da grama
84,Arabica,Brazil,1050.0,Washed / Wet,8.0,8.0,7.5,7.5,7.67,7.75,south of minas
84,Arabica,Ethiopia,1493.52,Washed / Wet,7.75,7.75,7.92,7.75,7.5,7.92,limu
84,Arabica,Guatemala,1386.84,Washed / Wet,7.5,7.67,7.75,7.67,7.92,7.92,nuevo oriente
84,Arabica,Taiwan,1000.0,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,國姓鄉 guoshing township
84,Arabica,Thailand,1200.0,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,chiang rai thailand
84,Arabica,Colombia,2560.0,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,nariño
84,Arabica,Guatemala,1500.0,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,antigua
84,Arabica,Guatemala,1099.4136,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,huehuetenango
84,Arabica,China,1400.0,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,yunnan
84,Arabica,Colombia,1775.0,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,huila
84,Arabica,Colombia,1775.0,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,huila
84,Arabica,Colombia,1800.0,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,cauca
84,Arabica,Colombia,442.0,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,huila
84,Arabica,"Tanzania, United Republic Of",1620.0,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,shizingo village
84,Arabica,"Tanzania, United Republic Of",1600.0,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,mbeya
84,Arabica,Guatemala,1219.2,Other,7.83,7.83,7.5,7.92,7.58,7.75,oriente
84,Arabica,Colombia,1700.0,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,cauca
84,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,kona
84,Arabica,Mexico,1450.0,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,san pedro cotzilnam
84,Arabica,Mexico,1170.0,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,veracruz
84,Arabica,Mexico,1400.0,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,"la concordia, chiapas"
84,Arabica,Uganda,1700.0,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,kasese
84,Arabica,Guatemala,1700.0,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,san marcos
84,Arabica,Colombia,1310.64,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,huila
84,Arabica,Costa Rica,1700.0,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,tarrazu
84,Arabica,Guatemala,1116.7872,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,huehuetenango
84,Arabica,Guatemala,1565.0,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,solola
84,Arabica,Guatemala,3280.0,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,norte
84,Arabica,Colombia,1775.0,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,huila
84,Arabica,Nicaragua,1000.0,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,jinotega
84,Arabica,Brazil,1150.0,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,cerrado
84,Arabica,Costa Rica,1850.0,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,tarrazu
84,Arabica,Ethiopia,1606.5,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,snnprg; kafa; telo woreda; shada kebele
84,Arabica,"Tanzania, United Republic Of",1400.0,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,arusha
84,Arabica,Colombia,1530.0,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,huila
84,Arabica,Kenya,250.5,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,kenya
